image,correct_key,Recog_trials.thisRepN,Recog_trials.thisTrialN,Recog_trials.thisN,Recog_trials.thisIndex,text.started,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,LandmarkImage.started,Recog_Question.started,Recog_key_resp.started,Recog_key_resp.keys,Recog_key_resp.corr,Recog_key_resp.rt,text_3.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,22.904353499005083,25.893887220998295,25.893887220998295,space,127.03771725398838,,,,,,,,328008,001,2023-02-02_13h50.17.417,SEAL_LandmarkRecog,2022.2.4,None,
Recognition/Correct/Landmark6.jpeg,y,0,0,0,14,,,,,,153.76781209697947,153.76781209697947,153.76781209697947,y,1,3.016323994990671,,328008,001,2023-02-02_13h50.17.417,SEAL_LandmarkRecog,2022.2.4,None,
Recognition/Incorrect/Landmark24.jpeg,n,0,1,1,19,,,,,,157.80854015998193,157.80854015998193,157.80854015998193,n,1,0.9081636449845973,,328008,001,2023-02-02_13h50.17.417,SEAL_LandmarkRecog,2022.2.4,None,
Recognition/Incorrect/Landmark37.jpeg,n,0,2,2,2,,,,,,159.53506177899544,159.53506177899544,159.53506177899544,y,0,0.502547879004851,,328008,001,2023-02-02_13h50.17.417,SEAL_LandmarkRecog,2022.2.4,None,
Recognition/Correct/Landmark17.jpeg,y,0,3,3,37,,,,,,160.66288341998006,160.66288341998006,160.66288341998006,y,1,0.32306058099493384,,328008,001,2023-02-02_13h50.17.417,SEAL_LandmarkRecog,2022.2.4,None,
Recognition/Correct/Landmark16.jpeg,y,0,4,4,13,,,,,,161.63988109098864,161.63988109098864,161.63988109098864,y,1,0.741859827976441,,328008,001,2023-02-02_13h50.17.417,SEAL_LandmarkRecog,2022.2.4,None,
Recognition/Incorrect/Landmark40.jpeg,n,0,5,5,30,,,,,,163.05219090299215,163.05219090299215,163.05219090299215,y,0,0.7164730099902954,,328008,001,2023-02-02_13h50.17.417,SEAL_LandmarkRecog,2022.2.4,None,
Recognition/Correct/Landmark11.jpeg,y,0,6,6,10,,,,,,164.4259720889968,164.4259720889968,164.4259720889968,y,1,0.6533292300009634,,328008,001,2023-02-02_13h50.17.417,SEAL_LandmarkRecog,2022.2.4,None,
Recognition/Correct/Landmark20.jpeg,y,0,7,7,33,,,,,,165.79228733299533,165.79228733299533,165.79228733299533,y,1,0.4886164519994054,,328008,001,2023-02-02_13h50.17.417,SEAL_LandmarkRecog,2022.2.4,None,
Recognition/Incorrect/Landmark35.jpeg,n,0,8,8,36,,,,,,166.91945219700574,166.91945219700574,166.91945219700574,y,0,0.4725284129672218,,328008,001,2023-02-02_13h50.17.417,SEAL_LandmarkRecog,2022.2.4,None,
Recognition/Correct/Landmark1.jpeg,y,0,9,9,25,,,,,,168.0437076659873,168.0437076659873,168.0437076659873,y,1,0.2980769299902022,,328008,001,2023-02-02_13h50.17.417,SEAL_LandmarkRecog,2022.2.4,None,
Recognition/Incorrect/Landmark33.jpeg,n,0,10,10,8,,,,,,168.95804161799606,168.95804161799606,168.95804161799606,y,0,0.31324993999442086,,328008,001,2023-02-02_13h50.17.417,SEAL_LandmarkRecog,2022.2.4,None,
