3.9289 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
11.0740 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1680, 1050]. Using actual size
13.6197 	WARNING 	Couldn't measure a consistent frame rate!
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

13.6217 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x7f97a2428c10>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x7f9770020eb0>, multiSample=False, name='window1', numSamples=2, pos=[420.0, 262.5], screen=0, size=array([3360, 2100]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
13.6222 	EXP 	window1: mouseVisible = True
13.6239 	EXP 	window1: mouseVisible = False
13.6239 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
13.6239 	EXP 	window1: recordFrameIntervals = False
13.7894 	EXP 	window1: recordFrameIntervals = True
14.0578 	WARNING 	t of last frame was 24.84ms (=1/40)
14.1725 	WARNING 	t of last frame was 25.03ms (=1/39)
14.2911 	WARNING 	t of last frame was 24.96ms (=1/40)
14.5911 	WARNING 	t of last frame was 24.90ms (=1/40)
14.9578 	WARNING 	Multiple dropped frames have occurred - I'll stop bothering you about them!
15.3897 	WARNING 	Couldn't measure a consistent frame rate!
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

18.5260 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='text', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='Welcome to the SEAL Landmark Recognition Task', units='height', win=Window(...), wrapWidth=1)
18.5519 	EXP 	Created text_2 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_2', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
18.5572 	EXP 	Created LandmarkImage = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='LandmarkImage', opacity=1.0, ori=0.0, pos=array([ 0. , -0.1]), size=array([0.6, 0.7]), texRes=128.0, units='height', win=Window(...))
18.5648 	EXP 	Created Recog_Question = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='Recog_Question', opacity=1.0, ori=0.0, pos=array([0. , 0.4]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
18.5704 	EXP 	Created text_3 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_3', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
18.5913 	EXP 	text: autoDraw = True
21.5906 	EXP 	text: autoDraw = False
21.5906 	EXP 	text_2: autoDraw = True
24.6751 	EXP 	Imported LandmarkRecog_Stims.xlsx as conditions, 40 conditions, 2 params
24.6761 	EXP 	Created sequence: sequential, trialTypes=40, nReps=1, seed=None
24.6764 	EXP 	New trial (rep=0, index=0): {'image': 'Recognition/Correct/Landmark9.jpeg', 'correct_key': 'y'}
25.3809 	DATA 	Keypress: space
25.5262 	EXP 	text_2: autoDraw = False
25.5262 	EXP 	LandmarkImage: image = 'Recognition/Correct/Landmark9.jpeg'
25.5262 	EXP 	LandmarkImage: autoDraw = True
25.5262 	EXP 	Recog_Question: autoDraw = True
29.6720 	EXP 	New trial (rep=0, index=1): {'image': 'Recognition/Correct/Landmark8.jpeg', 'correct_key': 'y'}
30.2766 	DATA 	Keypress: n
30.2991 	EXP 	LandmarkImage: autoDraw = False
30.2991 	EXP 	Recog_Question: autoDraw = False
30.2991 	EXP 	LandmarkImage: image = 'Recognition/Correct/Landmark8.jpeg'
30.2991 	EXP 	LandmarkImage: autoDraw = True
30.2991 	EXP 	Recog_Question: autoDraw = True
30.9815 	EXP 	New trial (rep=0, index=2): {'image': 'Recognition/Incorrect/Landmark37.jpeg', 'correct_key': 'n'}
31.6056 	DATA 	Keypress: n
31.6823 	EXP 	LandmarkImage: autoDraw = False
31.6823 	EXP 	Recog_Question: autoDraw = False
31.6823 	EXP 	LandmarkImage: image = 'Recognition/Incorrect/Landmark37.jpeg'
31.6823 	EXP 	LandmarkImage: autoDraw = True
31.6823 	EXP 	Recog_Question: autoDraw = True
32.1280 	EXP 	New trial (rep=0, index=3): {'image': 'Recognition/Correct/Landmark10.jpeg', 'correct_key': 'y'}
32.7018 	DATA 	Keypress: n
32.7362 	EXP 	LandmarkImage: autoDraw = False
32.7362 	EXP 	Recog_Question: autoDraw = False
32.7362 	EXP 	LandmarkImage: image = 'Recognition/Correct/Landmark10.jpeg'
32.7362 	EXP 	LandmarkImage: autoDraw = True
32.7362 	EXP 	Recog_Question: autoDraw = True
33.1551 	EXP 	New trial (rep=0, index=4): {'image': 'Recognition/Incorrect/Landmark30.jpeg', 'correct_key': 'n'}
33.7367 	DATA 	Keypress: n
33.7704 	EXP 	LandmarkImage: autoDraw = False
33.7704 	EXP 	Recog_Question: autoDraw = False
33.7704 	EXP 	LandmarkImage: image = 'Recognition/Incorrect/Landmark30.jpeg'
33.7704 	EXP 	LandmarkImage: autoDraw = True
33.7704 	EXP 	Recog_Question: autoDraw = True
34.2515 	EXP 	New trial (rep=0, index=5): {'image': 'Recognition/Incorrect/Landmark38.jpeg', 'correct_key': 'n'}
34.8417 	DATA 	Keypress: n
34.8646 	EXP 	LandmarkImage: autoDraw = False
34.8646 	EXP 	Recog_Question: autoDraw = False
34.8646 	EXP 	LandmarkImage: image = 'Recognition/Incorrect/Landmark38.jpeg'
34.8646 	EXP 	LandmarkImage: autoDraw = True
34.8646 	EXP 	Recog_Question: autoDraw = True
35.5290 	EXP 	New trial (rep=0, index=6): {'image': 'Recognition/Incorrect/Landmark27.jpeg', 'correct_key': 'n'}
36.2652 	DATA 	Keypress: n
36.2900 	EXP 	LandmarkImage: autoDraw = False
36.2900 	EXP 	Recog_Question: autoDraw = False
36.2900 	EXP 	LandmarkImage: image = 'Recognition/Incorrect/Landmark27.jpeg'
36.2900 	EXP 	LandmarkImage: autoDraw = True
36.2900 	EXP 	Recog_Question: autoDraw = True
36.7466 	EXP 	New trial (rep=0, index=7): {'image': 'Recognition/Correct/Landmark18.jpeg', 'correct_key': 'y'}
37.2476 	DATA 	Keypress: n
37.3050 	EXP 	LandmarkImage: autoDraw = False
37.3050 	EXP 	Recog_Question: autoDraw = False
37.3050 	EXP 	LandmarkImage: image = 'Recognition/Correct/Landmark18.jpeg'
37.3050 	EXP 	LandmarkImage: autoDraw = True
37.3050 	EXP 	Recog_Question: autoDraw = True
38.1173 	EXP 	New trial (rep=0, index=8): {'image': 'Recognition/Incorrect/Landmark33.jpeg', 'correct_key': 'n'}
38.7381 	DATA 	Keypress: n
38.7736 	EXP 	LandmarkImage: autoDraw = False
38.7736 	EXP 	Recog_Question: autoDraw = False
38.7736 	EXP 	LandmarkImage: image = 'Recognition/Incorrect/Landmark33.jpeg'
38.7736 	EXP 	LandmarkImage: autoDraw = True
38.7736 	EXP 	Recog_Question: autoDraw = True
39.5826 	EXP 	New trial (rep=0, index=9): {'image': 'Recognition/Correct/Landmark2.jpeg', 'correct_key': 'y'}
40.1588 	DATA 	Keypress: n
40.2147 	EXP 	LandmarkImage: autoDraw = False
40.2147 	EXP 	Recog_Question: autoDraw = False
40.2147 	EXP 	LandmarkImage: image = 'Recognition/Correct/Landmark2.jpeg'
40.2147 	EXP 	LandmarkImage: autoDraw = True
40.2147 	EXP 	Recog_Question: autoDraw = True
40.6370 	EXP 	New trial (rep=0, index=10): {'image': 'Recognition/Correct/Landmark11.jpeg', 'correct_key': 'y'}
41.1741 	DATA 	Keypress: n
41.1979 	EXP 	LandmarkImage: autoDraw = False
41.1979 	EXP 	Recog_Question: autoDraw = False
41.1979 	EXP 	LandmarkImage: image = 'Recognition/Correct/Landmark11.jpeg'
41.1979 	EXP 	LandmarkImage: autoDraw = True
41.1979 	EXP 	Recog_Question: autoDraw = True
41.5326 	EXP 	New trial (rep=0, index=11): {'image': 'Recognition/Incorrect/Landmark25.jpeg', 'correct_key': 'n'}
42.0870 	DATA 	Keypress: n
42.1148 	EXP 	LandmarkImage: autoDraw = False
42.1148 	EXP 	Recog_Question: autoDraw = False
42.1148 	EXP 	LandmarkImage: image = 'Recognition/Incorrect/Landmark25.jpeg'
42.1148 	EXP 	LandmarkImage: autoDraw = True
42.1148 	EXP 	Recog_Question: autoDraw = True
42.5716 	EXP 	New trial (rep=0, index=12): {'image': 'Recognition/Incorrect/Landmark28.jpeg', 'correct_key': 'n'}
43.1206 	DATA 	Keypress: n
43.1429 	EXP 	LandmarkImage: autoDraw = False
43.1429 	EXP 	Recog_Question: autoDraw = False
43.1429 	EXP 	LandmarkImage: image = 'Recognition/Incorrect/Landmark28.jpeg'
43.1429 	EXP 	LandmarkImage: autoDraw = True
43.1429 	EXP 	Recog_Question: autoDraw = True
43.2164 	EXP 	New trial (rep=0, index=13): {'image': 'Recognition/Correct/Landmark16.jpeg', 'correct_key': 'y'}
43.7997 	DATA 	Keypress: n
43.8018 	DATA 	Keypress: n
43.8484 	EXP 	LandmarkImage: autoDraw = False
43.8484 	EXP 	Recog_Question: autoDraw = False
43.8484 	EXP 	LandmarkImage: image = 'Recognition/Correct/Landmark16.jpeg'
43.8484 	EXP 	LandmarkImage: autoDraw = True
43.8484 	EXP 	Recog_Question: autoDraw = True
43.8954 	EXP 	New trial (rep=0, index=14): {'image': 'Recognition/Correct/Landmark6.jpeg', 'correct_key': 'y'}
44.1422 	DATA 	Keypress: n
44.1441 	DATA 	Keypress: n
44.1767 	EXP 	LandmarkImage: autoDraw = False
44.1767 	EXP 	Recog_Question: autoDraw = False
44.1767 	EXP 	LandmarkImage: image = 'Recognition/Correct/Landmark6.jpeg'
44.1767 	EXP 	LandmarkImage: autoDraw = True
44.1767 	EXP 	Recog_Question: autoDraw = True
44.3181 	DATA 	Keypress: n
44.3375 	EXP 	New trial (rep=0, index=15): {'image': 'Recognition/Correct/Landmark7.jpeg', 'correct_key': 'y'}
44.9589 	DATA 	Keypress: n
44.9606 	DATA 	Keypress: n
44.9941 	EXP 	LandmarkImage: autoDraw = False
44.9941 	EXP 	Recog_Question: autoDraw = False
44.9941 	EXP 	LandmarkImage: image = 'Recognition/Correct/Landmark7.jpeg'
44.9941 	EXP 	LandmarkImage: autoDraw = True
44.9941 	EXP 	Recog_Question: autoDraw = True
44.9979 	DATA 	Keypress: n
45.1972 	EXP 	New trial (rep=0, index=16): {'image': 'Recognition/Correct/Landmark5.jpeg', 'correct_key': 'y'}
45.8755 	DATA 	Keypress: n
45.8775 	DATA 	Keypress: n
45.8791 	DATA 	Keypress: n
45.9070 	EXP 	LandmarkImage: autoDraw = False
45.9070 	EXP 	Recog_Question: autoDraw = False
45.9070 	EXP 	LandmarkImage: image = 'Recognition/Correct/Landmark5.jpeg'
45.9070 	EXP 	LandmarkImage: autoDraw = True
45.9070 	EXP 	Recog_Question: autoDraw = True
45.9551 	EXP 	New trial (rep=0, index=17): {'image': 'Recognition/Incorrect/Landmark39.jpeg', 'correct_key': 'n'}
46.4779 	DATA 	Keypress: n
46.4802 	DATA 	Keypress: n
46.5274 	EXP 	LandmarkImage: autoDraw = False
46.5274 	EXP 	Recog_Question: autoDraw = False
46.5274 	EXP 	LandmarkImage: image = 'Recognition/Incorrect/Landmark39.jpeg'
46.5274 	EXP 	LandmarkImage: autoDraw = True
46.5274 	EXP 	Recog_Question: autoDraw = True
46.5741 	EXP 	New trial (rep=0, index=18): {'image': 'Recognition/Incorrect/Landmark21.jpeg', 'correct_key': 'n'}
47.1714 	DATA 	Keypress: n
47.1735 	DATA 	Keypress: n
47.2083 	EXP 	LandmarkImage: autoDraw = False
47.2083 	EXP 	Recog_Question: autoDraw = False
47.2083 	EXP 	LandmarkImage: image = 'Recognition/Incorrect/Landmark21.jpeg'
47.2083 	EXP 	LandmarkImage: autoDraw = True
47.2083 	EXP 	Recog_Question: autoDraw = True
47.3225 	EXP 	New trial (rep=0, index=19): {'image': 'Recognition/Incorrect/Landmark24.jpeg', 'correct_key': 'n'}
47.9015 	DATA 	Keypress: n
47.9250 	EXP 	LandmarkImage: autoDraw = False
47.9250 	EXP 	Recog_Question: autoDraw = False
47.9250 	EXP 	LandmarkImage: image = 'Recognition/Incorrect/Landmark24.jpeg'
47.9250 	EXP 	LandmarkImage: autoDraw = True
47.9250 	EXP 	Recog_Question: autoDraw = True
47.9344 	DATA 	Keypress: n
48.5026 	EXP 	New trial (rep=0, index=20): {'image': 'Recognition/Correct/Landmark13.jpeg', 'correct_key': 'y'}
49.0556 	DATA 	Keypress: n
49.0896 	EXP 	LandmarkImage: autoDraw = False
49.0896 	EXP 	Recog_Question: autoDraw = False
49.0896 	EXP 	LandmarkImage: image = 'Recognition/Correct/Landmark13.jpeg'
49.0896 	EXP 	LandmarkImage: autoDraw = True
49.0896 	EXP 	Recog_Question: autoDraw = True
49.1143 	EXP 	New trial (rep=0, index=21): {'image': 'Recognition/Incorrect/Landmark32.jpeg', 'correct_key': 'n'}
49.6810 	DATA 	Keypress: n
49.7157 	EXP 	LandmarkImage: autoDraw = False
49.7157 	EXP 	Recog_Question: autoDraw = False
49.7157 	EXP 	LandmarkImage: image = 'Recognition/Incorrect/Landmark32.jpeg'
49.7157 	EXP 	LandmarkImage: autoDraw = True
49.7157 	EXP 	Recog_Question: autoDraw = True
49.7190 	DATA 	Keypress: n
50.2856 	EXP 	New trial (rep=0, index=22): {'image': 'Recognition/Incorrect/Landmark29.jpeg', 'correct_key': 'n'}
50.8071 	DATA 	Keypress: n
50.8413 	EXP 	LandmarkImage: autoDraw = False
50.8413 	EXP 	Recog_Question: autoDraw = False
50.8413 	EXP 	LandmarkImage: image = 'Recognition/Incorrect/Landmark29.jpeg'
50.8413 	EXP 	LandmarkImage: autoDraw = True
50.8413 	EXP 	Recog_Question: autoDraw = True
50.9999 	EXP 	New trial (rep=0, index=23): {'image': 'Recognition/Correct/Landmark15.jpeg', 'correct_key': 'y'}
51.5476 	DATA 	Keypress: n
51.5499 	DATA 	Keypress: n
51.5524 	DATA 	Keypress: n
51.5747 	EXP 	LandmarkImage: autoDraw = False
51.5747 	EXP 	Recog_Question: autoDraw = False
51.5747 	EXP 	LandmarkImage: image = 'Recognition/Correct/Landmark15.jpeg'
51.5747 	EXP 	LandmarkImage: autoDraw = True
51.5747 	EXP 	Recog_Question: autoDraw = True
51.7168 	EXP 	New trial (rep=0, index=24): {'image': 'Recognition/Incorrect/Landmark26.jpeg', 'correct_key': 'n'}
52.2631 	DATA 	Keypress: n
52.2653 	DATA 	Keypress: n
52.2672 	DATA 	Keypress: n
52.2994 	EXP 	LandmarkImage: autoDraw = False
52.2994 	EXP 	Recog_Question: autoDraw = False
52.2994 	EXP 	LandmarkImage: image = 'Recognition/Incorrect/Landmark26.jpeg'
52.2994 	EXP 	LandmarkImage: autoDraw = True
52.2994 	EXP 	Recog_Question: autoDraw = True
52.3469 	EXP 	New trial (rep=0, index=25): {'image': 'Recognition/Correct/Landmark1.jpeg', 'correct_key': 'y'}
52.9386 	DATA 	Keypress: n
52.9406 	DATA 	Keypress: n
52.9422 	DATA 	Keypress: n
52.9646 	EXP 	LandmarkImage: autoDraw = False
52.9646 	EXP 	Recog_Question: autoDraw = False
52.9646 	EXP 	LandmarkImage: image = 'Recognition/Correct/Landmark1.jpeg'
52.9646 	EXP 	LandmarkImage: autoDraw = True
52.9646 	EXP 	Recog_Question: autoDraw = True
53.1684 	EXP 	New trial (rep=0, index=26): {'image': 'Recognition/Correct/Landmark4.jpeg', 'correct_key': 'y'}
53.7458 	DATA 	Keypress: n
53.7478 	DATA 	Keypress: n
53.7493 	DATA 	Keypress: n
53.7830 	EXP 	LandmarkImage: autoDraw = False
53.7830 	EXP 	Recog_Question: autoDraw = False
53.7830 	EXP 	LandmarkImage: image = 'Recognition/Correct/Landmark4.jpeg'
53.7830 	EXP 	LandmarkImage: autoDraw = True
53.7830 	EXP 	Recog_Question: autoDraw = True
53.9825 	EXP 	New trial (rep=0, index=27): {'image': 'Recognition/Incorrect/Landmark35.jpeg', 'correct_key': 'n'}
54.5619 	DATA 	Keypress: n
54.5640 	DATA 	Keypress: n
54.5656 	DATA 	Keypress: n
54.5977 	EXP 	LandmarkImage: autoDraw = False
54.5977 	EXP 	Recog_Question: autoDraw = False
54.5977 	EXP 	LandmarkImage: image = 'Recognition/Incorrect/Landmark35.jpeg'
54.5977 	EXP 	LandmarkImage: autoDraw = True
54.5977 	EXP 	Recog_Question: autoDraw = True
54.7133 	EXP 	New trial (rep=0, index=28): {'image': 'Recognition/Incorrect/Landmark22.jpeg', 'correct_key': 'n'}
55.3264 	DATA 	Keypress: n
55.3284 	DATA 	Keypress: n
55.3300 	DATA 	Keypress: n
55.3517 	EXP 	LandmarkImage: autoDraw = False
55.3517 	EXP 	Recog_Question: autoDraw = False
55.3517 	EXP 	LandmarkImage: image = 'Recognition/Incorrect/Landmark22.jpeg'
55.3517 	EXP 	LandmarkImage: autoDraw = True
55.3517 	EXP 	Recog_Question: autoDraw = True
55.6866 	EXP 	New trial (rep=0, index=29): {'image': 'Recognition/Incorrect/Landmark23.jpeg', 'correct_key': 'n'}
56.2027 	DATA 	Keypress: n
56.2252 	EXP 	LandmarkImage: autoDraw = False
56.2252 	EXP 	Recog_Question: autoDraw = False
56.2252 	EXP 	LandmarkImage: image = 'Recognition/Incorrect/Landmark23.jpeg'
56.2252 	EXP 	LandmarkImage: autoDraw = True
56.2252 	EXP 	Recog_Question: autoDraw = True
56.4496 	EXP 	New trial (rep=0, index=30): {'image': 'Recognition/Incorrect/Landmark40.jpeg', 'correct_key': 'n'}
56.9973 	DATA 	Keypress: n
57.0210 	EXP 	LandmarkImage: autoDraw = False
57.0210 	EXP 	Recog_Question: autoDraw = False
57.0210 	EXP 	LandmarkImage: image = 'Recognition/Incorrect/Landmark40.jpeg'
57.0210 	EXP 	LandmarkImage: autoDraw = True
57.0210 	EXP 	Recog_Question: autoDraw = True
57.0283 	DATA 	Keypress: n
57.7285 	EXP 	New trial (rep=0, index=31): {'image': 'Recognition/Incorrect/Landmark31.jpeg', 'correct_key': 'n'}
58.2880 	DATA 	Keypress: n
